Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte;lat;lon
de-sh;Kiel;Bevoelkerung;31.12.2023;Altstadt;Haushalte;520.0;181.0;31.0;8;12;31;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31.12.2023;Vorstadt;Haushalte;739.0;232.0;59.0;9;20;53;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31.12.2023;Exerzierplatz;Haushalte;3218.0;719.0;256.0;22;97;149;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31.12.2023;Damperhof;Haushalte;1757.0;352.0;150.0;15;41;80;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31.12.2023;Brunswik;Haushalte;3442.0;721.0;204.0;32;106;170;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31.12.2023;Duesternbrook;Haushalte;1051.0;337.0;220.0;63;36;109;;
de-sh;Kiel;Bevoelkerung;31.12.2023;Bluecherplatz;Haushalte;4437.0;1288.0;731.0;107;231;261;;
de-sh;Kiel;Bevoelkerung;31.12.2023;Wik;Haushalte;7130.0;2394.0;1152.0;236;401;513;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31.12.2023;Ravensberg;Haushalte;6835.0;1223.0;497.0;56;177;275;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31.12.2023;Schreventeich;Haushalte;5487.0;1316.0;549.0;83;199;299;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31.12.2023;Suedfriedhof;Haushalte;7472.0;1621.0;582.0;92;285;386;;
de-sh;Kiel;Bevoelkerung;31.12.2023;Gaarden-Ost;Haushalte;6848.0;1253.0;1233.0;212;717;791;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31.12.2023;Gaarden-Sued/Kronsburg;Haushalte;3317.0;1161.0;686.0;156;284;383;;
de-sh;Kiel;Bevoelkerung;31.12.2023;Hassee;Haushalte;4721.0;1381.0;695.0;166;343;430;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31.12.2023;Hasseldieksdamm;Haushalte;675.0;370.0;195.0;67;46;80;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31.12.2023;Ellerbek;Haushalte;1839.0;621.0;422.0;112;132;184;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31.12.2023;Wellingdorf;Haushalte;2650.0;936.0;455.0;95;279;298;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31.12.2023;Holtenau;Haushalte;1478.0;749.0;313.0;90;96;166;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31.12.2023;Pries;Haushalte;1920.0;862.0;493.0;121;252;251;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31.12.2023;Friedrichsort;Haushalte;734.0;201.0;149.0;19;62;70;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31.12.2023;Neumuehlen/Dietrichsdorf;Haushalte;3959.0;1329.0;828.0;150;377;470;;
de-sh;Kiel;Bevoelkerung;31.12.2023;Elmschenhagen;Haushalte;4137.0;2125.0;1191.0;311;461;562;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31.12.2023;Suchsdorf;Haushalte;1924.0;1271.0;762.0;197;178;248;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31.12.2023;Schilksee;Haushalte;1405.0;880.0;239.0;69;78;135;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31.12.2023;Mettenhof;Haushalte;3552.0;1771.0;1705.0;365;683;788;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31.12.2023;Russee;Haushalte;1292.0;1078.0;530.0;158;158;209;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;31.12.2023;Meimersdorf;Haushalte;328.0;313.0;412.0;71;79;89;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31.12.2023;Moorsee;Haushalte;272.0;249.0;265.0;43;45;45;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31.12.2023;Wellsee;Haushalte;1058.0;597.0;456.0;107;146;170;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31.12.2023;Roenne;Haushalte;76.0;59.0;34.0;7;6;17;;
de-sh;Kiel;Bevoelkerung;31.12.2022;Altstadt;Haushalte;443.0;177.0;29.0;7;10;29;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31.12.2022;Vorstadt;Haushalte;707.0;188.0;49.0;5;22;41;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31.12.2022;Exerzierplatz;Haushalte;3128.0;717.0;245.0;16;97;154;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31.12.2022;Damperhof;Haushalte;1648.0;343.0;148.0;15;41;66;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31.12.2022;Brunswik;Haushalte;3262.0;720.0;213.0;32;114;160;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31.12.2022;Duesternbrook;Haushalte;887.0;394.0;222.0;66;41;101;;
de-sh;Kiel;Bevoelkerung;31.12.2022;Bluecherplatz;Haushalte;4361.0;1279.0;732.0;100;233;249;;
de-sh;Kiel;Bevoelkerung;31.12.2022;Wik;Haushalte;6608.0;2530.0;1214.0;236;417;537;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31.12.2022;Ravensberg;Haushalte;6120.0;1394.0;509.0;56;186;253;54.3434673;10.13196
