Land;Stadt;Kategorie;Merkmal;Datum;Stadtteilnummer;Stadtteil;insgesamt;maennlich;weiblich;lat;lon
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;1;Altstadt;1220;638;582;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;2;Vorstadt;1648;829;819;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;3;Exerzierplatz;6299;3000;3299;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;4;Damperhof;3436;1663;1773;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;5;Brunswik;6473;2980;3493;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;6;Duesternbrook;3108;1484;1624;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;7;Bluecherplatz;11234;5148;6086;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;8;Wik;20145;9605;10540;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;9;Ravensberg;12283;5798;6485;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;10;Schreventeich;11692;5554;6138;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;11;Suedfriedhof;15404;7677;7727;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;12;Gaarden-Ost;19229;10380;8849;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;13;Gaarden-Sued/Kronsburg;10843;5441;5402;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;14;Hassee;12876;6511;6365;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;15;Hasseldieksdamm;2746;1337;1409;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;16;Ellerbek;6180;3143;3037;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;17;Wellingdorf;8051;3878;4173;;
de-sh;Kiel;Bevoelkerung;Einwohner insgesamt;2023_12_31;18;Holtenau;6206;3179;3027;;
