Land;Stadt;Kategorie;Datum;Stadtteilnummer;Merkmal;Stadtteil;0 bis unter 3;3 bis unter 6; 6 bis unter 10;10 bis unter 12;12 bis unter 15;15 bis unter 18;18 bis unter 21;21 bis unter 25;25 bis unter 30;30 bis unter 35;35 bis unter 40;40 bis unter 45;45 bis unter 50;50 bis unter 55;55 bis unter 60;60 bis unter 65;65 bis unter 70;70 bis unter 75;75 bis unter 80;80 und aelter
de-sh;Kiel;Bevoelkerung;2023_12_31;1;Einwohner nach Altersgruppen;Altstadt;19;14;14;8;1;10;39;143;158;141;85;74;49;54;63;55;43;48;49;153
de-sh;Kiel;Bevoelkerung;2023_12_31;2;Einwohner nach Altersgruppen;Vorstadt;33;35;30;7;18;14;46;162;309;239;94;77;74;70;84;66;60;49;66;115
de-sh;Kiel;Bevoelkerung;2023_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;158;114;121;40;59;40;153;710;1064;795;488;349;269;280;341;251;243;190;174;460
de-sh;Kiel;Bevoelkerung;2023_12_31;4;Einwohner nach Altersgruppen;Damperhof;84;56;61;27;37;38;102;391;567;394;257;201;165;135;184;141;111;145;120;220
de-sh;Kiel;Bevoelkerung;2023_12_31;5;Einwohner nach Altersgruppen;Brunswik;116;78;79;28;51;82;244;789;1132;780;413;338;288;286;338;302;248;238;196;447
de-sh;Kiel;Bevoelkerung;2023_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;73;75;83;48;69;69;122;224;253;200;159;134;172;203;261;198;165;158;144;298
de-sh;Kiel;Bevoelkerung;2023_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;366;262;291;140;199;201;280;787;1431;1198;950;709;577;669;708;666;500;426;321;553
de-sh;Kiel;Bevoelkerung;2023_12_31;8;Einwohner nach Altersgruppen;Wik;472;474;607;291;448;461;755;1562;2054;1872;1410;1138;1042;1177;1412;1223;1002;810;697;1238
de-sh;Kiel;Bevoelkerung;2023_12_31;9;Einwohner nach Altersgruppen;Ravensberg;268;179;207;92;122;128;566;1805;2215;1495;934;610;545;527;657;551;443;323;241;375
de-sh;Kiel;Bevoelkerung;2023_12_31;10;Einwohner nach Altersgruppen;Schreventeich;249;249;244;121;133;155;393;1481;1967;1313;904;634;516;530;609;526;489;387;279;513
de-sh;Kiel;Bevoelkerung;2023_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;325;243;286;133;196;180;515;1772;2567;1841;1270;914;698;738;865;710;554;408;351;838
de-sh;Kiel;Bevoelkerung;2023_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;630;679;835;369;549;603;755;1454;1830;1676;1452;1284;1197;1230;1255;1094;784;605;408;540
de-sh;Kiel;Bevoelkerung;2023_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;265;270;409;174;253;306;346;551;763;778;717;670;620;699;908;828;593;474;395;824
de-sh;Kiel;Bevoelkerung;2023_12_31;14;Einwohner nach Altersgruppen;Hassee;309;306;356;178;273;301;378;880;1231;1164;928;817;688;849;992;821;688;515;403;799
