Land;Stadt;Kategorie;Jahr;Stadtteil;evangelisch;katholisch;sonstige/ohne;lat;lon
de-sh;Kiel;Bevoelkerung;2023;Altstadt;344;89;787;;
de-sh;Kiel;Bevoelkerung;2023;Vorstadt;414;95;1139;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2023;Exerzierplatz;2095;401;3803;;
de-sh;Kiel;Bevoelkerung;2023;Damperhof;1087;224;2125;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2023;Brunswik;2157;408;3908;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2023;Duesternbrook;1078;251;1779;;
de-sh;Kiel;Bevoelkerung;2023;Bluecherplatz;3637;690;6907;;
de-sh;Kiel;Bevoelkerung;2023;Wik;6016;1151;12978;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2023;Ravensberg;4256;727;7300;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2023;Schreventeich;4175;714;6803;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2023;Suedfriedhof;5130;896;9378;;
de-sh;Kiel;Bevoelkerung;2023;Gaarden-Ost;3408;872;14949;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2023;Gaarden-Sued/Kronsburg;3241;598;7004;;
de-sh;Kiel;Bevoelkerung;2023;Hassee;4084;717;8075;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2023;Hasseldieksdamm;954;184;1608;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2023;Ellerbek;1609;348;4223;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2023;Wellingdorf;2377;425;5249;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2023;Holtenau;1882;296;4028;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2023;Pries;2432;326;4592;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2023;Friedrichsort;643;124;1336;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2023;Neumuehlen/Dietrichsdorf;3628;584;8633;;
de-sh;Kiel;Bevoelkerung;2023;Elmschenhagen;5301;848;11015;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2023;Suchsdorf;3316;574;5225;;
de-sh;Kiel;Bevoelkerung;2023;Schilksee;1620;284;2953;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2023;Mettenhof;3827;1623;14490;;
de-sh;Kiel;Bevoelkerung;2023;Russee;2245;397;4291;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2023;Meimersdorf;947;153;2119;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2023;Moorsee;640;105;1445;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2023;Wellsee;1466;339;3414;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2023;Roenne;170;15;219;;
de-sh;Kiel;Bevoelkerung;2022;Altstadt;369;90;754;;
de-sh;Kiel;Bevoelkerung;2022;Vorstadt;408;99;950;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2022;Exerzierplatz;2214;420;3662;;
de-sh;Kiel;Bevoelkerung;2022;Damperhof;1103;246;2065;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2022;Brunswik;2213;421;3756;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2022;Duesternbrook;1098;251;1856;;
de-sh;Kiel;Bevoelkerung;2022;Bluecherplatz;3774;742;6739;;
de-sh;Kiel;Bevoelkerung;2022;Wik;6260;1210;12556;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2022;Ravensberg;4353;768;7034;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2022;Schreventeich;4352;727;6523;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2022;Suedfriedhof;5202;929;9023;;
de-sh;Kiel;Bevoelkerung;2022;Gaarden-Ost;3516;916;14350;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2022;Gaarden-Sued/Kronsburg;3360;600;6810;;
de-sh;Kiel;Bevoelkerung;2022;Hassee;4220;720;7655;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2022;Hasseldieksdamm;983;196;1580;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2022;Ellerbek;1677;362;4168;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2022;Wellingdorf;2433;422;5198;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2022;Holtenau;1952;311;3831;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2022;Pries;2491;350;4465;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2022;Friedrichsort;652;128;1263;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2022;Neumuehlen/Dietrichsdorf;3764;607;8338;;
de-sh;Kiel;Bevoelkerung;2022;Elmschenhagen;5586;894;10725;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2022;Suchsdorf;3434;574;5086;;
de-sh;Kiel;Bevoelkerung;2022;Schilksee;1690;307;2883;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2022;Mettenhof;4034;1717;14341;;
de-sh;Kiel;Bevoelkerung;2022;Russee;2351;409;4174;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2022;Meimersdorf;987;155;2137;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2022;Moorsee;647;107;1387;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2022;Wellsee;1511;360;3406;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2022;Roenne;183;18;215;;
de-sh;Kiel;Bevoelkerung;2021;Altstadt;377;92;684;;
de-sh;Kiel;Bevoelkerung;2021;Vorstadt;403;101;771;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2021;Exerzierplatz;2321;454;3568;;
de-sh;Kiel;Bevoelkerung;2021;Damperhof;1140;255;2001;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2021;Brunswik;2289;446;3535;54.3284802;10.1384443
