Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte
de-sh;Kiel;Bevoelkerung;31.12.2023;Altstadt;Haushalte;520;181;31;8;12;31
de-sh;Kiel;Bevoelkerung;31.12.2023;Vorstadt;Haushalte;739;232;59;9;20;53
de-sh;Kiel;Bevoelkerung;31.12.2023;Exerzierplatz;Haushalte;3218;719;256;22;97;149
de-sh;Kiel;Bevoelkerung;31.12.2023;Damperhof;Haushalte;1757;352;150;15;41;80
de-sh;Kiel;Bevoelkerung;31.12.2023;Brunswik;Haushalte;3442;721;204;32;106;170
de-sh;Kiel;Bevoelkerung;31.12.2023;Duesternbrook;Haushalte;1051;337;220;63;36;109
de-sh;Kiel;Bevoelkerung;31.12.2023;Bluecherplatz;Haushalte;4437;1288;731;107;231;261
de-sh;Kiel;Bevoelkerung;31.12.2023;Wik;Haushalte;7130;2394;1152;236;401;513
de-sh;Kiel;Bevoelkerung;31.12.2023;Ravensberg;Haushalte;6835;1223;497;56;177;275
de-sh;Kiel;Bevoelkerung;31.12.2023;Schreventeich;Haushalte;5487;1316;549;83;199;299
de-sh;Kiel;Bevoelkerung;31.12.2023;Suedfriedhof;Haushalte;7472;1621;582;92;285;386
de-sh;Kiel;Bevoelkerung;31.12.2023;Gaarden-Ost;Haushalte;6848;1253;1233;212;717;791
de-sh;Kiel;Bevoelkerung;31.12.2023;Gaarden-Sued/Kronsburg;Haushalte;3317;1161;686;156;284;383
de-sh;Kiel;Bevoelkerung;31.12.2023;Hassee;Haushalte;4721;1381;695;166;343;430
de-sh;Kiel;Bevoelkerung;31.12.2023;Hasseldieksdamm;Haushalte;675;370;195;67;46;80
de-sh;Kiel;Bevoelkerung;31.12.2023;Ellerbek;Haushalte;1839;621;422;112;132;184
de-sh;Kiel;Bevoelkerung;31.12.2023;Wellingdorf;Haushalte;2650;936;455;95;279;298
de-sh;Kiel;Bevoelkerung;31.12.2023;Holtenau;Haushalte;1478;749;313;90;96;166
de-sh;Kiel;Bevoelkerung;31.12.2023;Pries;Haushalte;1920;862;493;121;252;251
de-sh;Kiel;Bevoelkerung;31.12.2023;Friedrichsort;Haushalte;734;201;149;19;62;70
de-sh;Kiel;Bevoelkerung;31.12.2023;Neumuehlen/Dietrichsdorf;Haushalte;3959;1329;828;150;377;470
de-sh;Kiel;Bevoelkerung;31.12.2023;Elmschenhagen;Haushalte;4137;2125;1191;311;461;562
de-sh;Kiel;Bevoelkerung;31.12.2023;Suchsdorf;Haushalte;1924;1271;762;197;178;248
de-sh;Kiel;Bevoelkerung;31.12.2023;Schilksee;Haushalte;1405;880;239;69;78;135
de-sh;Kiel;Bevoelkerung;31.12.2023;Mettenhof;Haushalte;3552;1771;1705;365;683;788
de-sh;Kiel;Bevoelkerung;31.12.2023;Russee;Haushalte;1292;1078;530;158;158;209
de-sh;Kiel;Bevoelkerung;31.12.2023;Meimersdorf;Haushalte;328;313;412;71;79;89
de-sh;Kiel;Bevoelkerung;31.12.2023;Moorsee;Haushalte;272;249;265;43;45;45
de-sh;Kiel;Bevoelkerung;31.12.2023;Wellsee;Haushalte;1058;597;456;107;146;170
de-sh;Kiel;Bevoelkerung;31.12.2023;Roenne;Haushalte;76;59;34;7;6;17
de-sh;Kiel;Bevoelkerung;31.12.2022;Altstadt;Haushalte;443;177;29;7;10;29
de-sh;Kiel;Bevoelkerung;31.12.2022;Vorstadt;Haushalte;707;188;49;5;22;41
de-sh;Kiel;Bevoelkerung;31.12.2022;Exerzierplatz;Haushalte;3128;717;245;16;97;154
de-sh;Kiel;Bevoelkerung;31.12.2022;Damperhof;Haushalte;1648;343;148;15;41;66
de-sh;Kiel;Bevoelkerung;31.12.2022;Brunswik;Haushalte;3262;720;213;32;114;160
de-sh;Kiel;Bevoelkerung;31.12.2022;Duesternbrook;Haushalte;887;394;222;66;41;101
de-sh;Kiel;Bevoelkerung;31.12.2022;Bluecherplatz;Haushalte;4361;1279;732;100;233;249
de-sh;Kiel;Bevoelkerung;31.12.2022;Wik;Haushalte;6608;2530;1214;236;417;537
